Days,Days,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan,,,,,,,,,,,,,,,
Mon,87,311.78125,206,307.7894737,308.3894737,404.5157895,402.8020833,264.25,496,509.15625,353.4375,,,,,,,,,,,,,,,
Tue,88,334.6145833,206,309.8,311.9157895,409.5578947,404.0729167,400.125,496,514.7395833,351.5416667,,,,,,,,,,,,,,,
Wed,89,322.0520833,165.1875,307.9473684,309.9263158,410.5684211,400.3333333,261.2395833,496,515.28125,352.75,,,,,,,,,,,,,,,
Thu,90,296.3645833,175.0104167,308.8,311.7052632,415.7684211,368.15625,400.6770833,362.2708333,462.4166667,309.4375,,,,,,,,,,,,,,,
Fri,91,324.6145833,175.8333333,294.2315789,292.5368421,370.4736842,389.8020833,264.1979167,381.03125,492.40625,331.6041667,,,,,,,,,,,,,,,
Sat,92,331.8125,174.3958333,303.4105263,299.4526316,385.9789474,403.1458333,398.59375,401.59375,513.0833333,355.84375,,,,,,,,,,,,,,,
Sun,93,325.5104167,175.7083333,304.8842105,309.3684211,384.7789474,401.8020833,260.6979167,396.3333333,509.9166667,350.53125,,,,,,,,,,,,,,,
Mon,94,312,175.6145833,307.1368421,307.4947368,385.5894737,402.59375,390.1458333,398.375,509.1875,353.9791667,,,,,,,,,,,,,,,
Tue,95,334.53125,177.375,308.5263158,310.4421053,387.5578947,403.65625,260.375,397.1875,514.7395833,352.4166667,,,,,,,,,,,,,,,
Wed,96,322.2708333,165.3333333,307.1052632,308.7473684,386.5368421,401.0520833,397.09375,397.40625,515.2708333,353.0625,,,,,,,,,,,,,,,
Thu,97,295.28125,175.53125,307.5684211,311.6526316,393.9368421,367.6145833,259.9895833,360.875,461.4479167,145.5520833,,,,,,,,,,,,,,,
Fri,98,324.6145833,175.8333333,294.2210526,291.2105263,370.9052632,390.6979167,390.9375,383.0729167,492.40625,331.1875,,,,,,,,,,,,,,,
Sat,99,331.8229167,174.8958333,301.4736842,299.8105263,385.7578947,404.375,256,403.5625,513.0833333,355.9791667,,,,,,,,,,,,,,,
Sun,100,325.5104167,175.7083333,304.2105263,309.8421053,383.4210526,400.6458333,398.8958333,396.7395833,509.9166667,351.1041667,,,,,,,,,,,,,,,
Mon,101,312,175.7708333,306.6,306.1052632,384.2315789,402.59375,264.25,400.4583333,509.1875,353.2395833,,,,,,,,,,,,,,,
Tue,102,334.53125,176.875,308.1578947,310.7263158,388.5473684,405.0729167,400.125,397.9479167,514.7395833,351.9791667,,,,,,,,,,,,,,,
Wed,103,322.2708333,165.4166667,306.0421053,308.4,385.3473684,399.8854167,260.0833333,396.6458333,515.2708333,353.6666667,,,,,,,,,,,,,,,
